"","end_station_name","end_station_latitude","end_station_longitude","number_bike","Priority"
"1","17th & Folsom Street Park (17th St at Folsom St)",37.7637085,-122.4152042,1,"Low"
"2","17th St at Valencia St",37.7633158,-122.4219039,1,"Low"
"3","1st St at Folsom St",37.78729,-122.39438,2,"Medium"
"4","22nd St Caltrain Station",37.7573689900574,-122.392056584358,1,"Low"
"5","4th St at Harrison St",37.7809545996075,-122.399749159813,1,"Low"
"6","5th at Folsom",37.780145703456,-122.403070852379,2,"Medium"
"7","5th St at Brannan St",37.7767539,-122.3990176,1,"Low"
"8","Beale St at Harrison St",37.7880593,-122.3918648,3,"Medium"
"9","Broderick St at Oak St",37.7730627,-122.4390777,1,"Low"
"10","Bryant St at 15th St",37.7671004,-122.410662,1,"Low"
"11","Cesar Chavez St at Dolores St",37.7478584,-122.4249863,1,"Low"
"12","Church St at Duboce Ave",37.7700831,-122.4291557,1,"Low"
"13","Civic Center/UN Plaza BART Station (Market St at McAllister St)",37.7810737,-122.4117382,1,"Low"
"14","Clay St at Battery St",37.795001,-122.39997,1,"Low"
"15","Cyril Magnin St at Ellis St",37.7858806269413,-122.408915008432,1,"Low"
"16","Esprit Park",37.7616343,-122.3906477,1,"Low"
"17","Folsom St at 3rd St",37.78383,-122.39887,1,"Low"
"18","Harrison St at 17th St",37.7638471,-122.4130036,2,"Medium"
"19","Market St at 10th St",37.776619,-122.417385,1,"Low"
"20","Mission Dolores Park",37.7614205,-122.4264353,2,"Medium"
"21","Montgomery St BART Station (Market St at 2nd St)",37.7896254,-122.400811,1,"Low"
"22","Post St at Kearny St",37.788975,-122.403452,2,"Medium"
"23","Powell St BART Station (Market St at 4th St)",37.7863752686158,-122.40490436554,1,"Low"
"24","S Van Ness Ave at Market St",37.774814,-122.418954,1,"Low"
"25","San Bruno Ave at 16th St",37.7660077427367,-122.405676841736,1,"Low"
"26","San Francisco Caltrain (Townsend St at 4th St)",37.776598,-122.395282,5,"High"
"27","San Francisco Caltrain Station 2  (Townsend St at 4th St)",37.7766392,-122.3955263,7,"High"
"28","San Francisco Ferry Building (Harry Bridges Plaza)",37.795392,-122.394203,5,"High"
"29","Steuart St at Market St",37.79413,-122.39443,1,"Low"
"30","Telegraph Ave at 19th St",37.8087021,-122.2699271,1,"Low"
"31","Union Square (Powell St at Post St)",37.7882999781508,-122.408530712128,1,"Low"
"32","Victoria Manalo Draves Park",37.7777905703426,-122.406431883574,1,"Low"
"33","Webster St at Grove St",37.7770527,-122.4295585,1,"Low"
"34","Webster St at O'Farrell St",37.783520835261,-122.431157827377,1,"Low"
"35","Yerba Buena Center for the Arts (Howard St at 3rd St)",37.7848720843606,-122.400875687599,1,"Low"
